match_id,round,player_name,win_category,opp_match_wins,opp_match_winrate,stake,opp_move,my_move,outcome,score_me_before,score_opp_before,score_diff,streak_draws,is_last_round,prev1_opp_move,prev1_my_move,prev1_outcome,prev2_opp_move,prev2_my_move,prev2_outcome,prev3_opp_move,prev3_my_move,prev3_outcome,prev4_opp_move,prev4_my_move,prev4_outcome,prev5_opp_move,prev5_my_move,prev5_outcome,prev6_opp_move,prev6_my_move,prev6_outcome
1,1,Неизвестен,unknown,-1,-0.01,25,Н,Б,lose,0,0,0,0,0,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
1,2,Неизвестен,unknown,-1,-0.01,25,К,Н,lose,0,1,-1,0,0,Н,Б,lose,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
1,3,Неизвестен,unknown,-1,-0.01,25,Н,Н,draw,0,2,-2,0,1,К,Н,lose,Н,Б,lose,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
1,4,Неизвестен,unknown,-1,-0.01,25,Н,Н,draw,0,2,-2,1,1,Н,Н,draw,К,Н,lose,Н,Б,lose,-1,-1,none,-1,-1,none,-1,-1,none
1,5,Неизвестен,unknown,-1,-0.01,25,Н,К,win,0,2,-2,2,1,Н,Н,draw,Н,Н,draw,К,Н,lose,Н,Б,lose,-1,-1,none,-1,-1,none
1,6,Неизвестен,unknown,-1,-0.01,25,Н,Б,lose,1,2,-1,0,1,Н,К,win,Н,Н,draw,Н,Н,draw,К,Н,lose,Н,Б,lose,-1,-1,none
2,1,Неизвестен,unknown,-1,-0.01,25,Н,К,win,0,0,0,0,0,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
2,2,Неизвестен,unknown,-1,-0.01,25,Б,Б,draw,1,0,1,0,0,Н,К,win,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
2,3,Неизвестен,unknown,-1,-0.01,25,Б,Н,win,1,0,1,1,0,Б,Б,draw,Н,К,win,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
2,4,Неизвестен,unknown,-1,-0.01,25,Б,К,lose,2,0,2,0,1,Б,Н,win,Б,Б,draw,Н,К,win,-1,-1,none,-1,-1,none,-1,-1,none
2,5,Неизвестен,unknown,-1,-0.01,25,Н,К,win,2,1,1,0,1,Б,К,lose,Б,Н,win,Б,Б,draw,Н,К,win,-1,-1,none,-1,-1,none
3,1,Неизвестен,unknown,-1,-0.01,25,К,Б,win,0,0,0,0,0,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
3,2,Неизвестен,unknown,-1,-0.01,25,К,К,draw,1,0,1,0,0,К,Б,win,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
3,3,Неизвестен,unknown,-1,-0.01,25,Н,Б,lose,1,0,1,1,0,К,К,draw,К,Б,win,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
3,4,Неизвестен,unknown,-1,-0.01,25,К,Н,lose,1,1,0,0,0,Н,Б,lose,К,К,draw,К,Б,win,-1,-1,none,-1,-1,none,-1,-1,none
3,5,Неизвестен,unknown,-1,-0.01,25,Б,К,lose,1,2,-1,0,1,К,Н,lose,Н,Б,lose,К,К,draw,К,Б,win,-1,-1,none,-1,-1,none
4,1,Неизвестен,unknown,-1,-0.01,25,К,К,draw,0,0,0,0,0,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
4,2,Неизвестен,unknown,-1,-0.01,25,Н,К,win,0,0,0,1,0,К,К,draw,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
4,3,Неизвестен,unknown,-1,-0.01,25,Н,Н,draw,1,0,1,0,0,Н,К,win,К,К,draw,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
4,4,Неизвестен,unknown,-1,-0.01,25,Б,К,lose,1,0,1,1,0,Н,Н,draw,Н,К,win,К,К,draw,-1,-1,none,-1,-1,none,-1,-1,none
4,5,Неизвестен,unknown,-1,-0.01,25,Н,К,win,1,1,0,0,0,Б,К,lose,Н,Н,draw,Н,К,win,К,К,draw,-1,-1,none,-1,-1,none
4,6,Неизвестен,unknown,-1,-0.01,25,Н,К,win,2,1,1,0,1,Н,К,win,Б,К,lose,Н,Н,draw,Н,К,win,К,К,draw,-1,-1,none
5,1,Неизвестен,unknown,-1,-0.01,25,Б,К,lose,0,0,0,0,0,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
5,2,Неизвестен,unknown,-1,-0.01,25,Б,К,lose,0,1,-1,0,0,Б,К,lose,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
5,3,Неизвестен,unknown,-1,-0.01,25,Н,К,win,0,2,-2,0,1,Б,К,lose,Б,К,lose,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
5,4,Неизвестен,unknown,-1,-0.01,25,Б,К,lose,1,2,-1,0,1,Н,К,win,Б,К,lose,Б,К,lose,-1,-1,none,-1,-1,none,-1,-1,none
6,1,Неизвестен,unknown,-1,-0.01,25,Б,К,lose,0,0,0,0,0,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
6,2,Неизвестен,unknown,-1,-0.01,25,К,Н,lose,0,1,-1,0,0,Б,К,lose,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
6,3,Неизвестен,unknown,-1,-0.01,25,Н,К,win,0,2,-2,0,1,К,Н,lose,Б,К,lose,-1,-1,none,-1,-1,none,-1,-1,none,-1,-1,none
6,4,Неизвестен,unknown,-1,-0.01,25,К,К,draw,1,2,-1,0,1,Н,К,win,К,Н,lose,Б,К,lose,-1,-1,none,-1,-1,none,-1,-1,none
6,5,Неизвестен,unknown,-1,-0.01,25,К,Б,win,1,2,-1,1,1,К,К,draw,Н,К,win,К,Н,lose,Б,К,lose,-1,-1,none,-1,-1,none
6,6,Неизвестен,unknown,-1,-0.01,25,К,Б,win,2,2,0,0,1,К,Б,win,К,К,draw,Н,К,win,К,Н,lose,Б,К,lose,-1,-1,none
